feature,source,transformation,lookback,information_cutoff,target_dependency,future_dependency,status,reason
kdci_lag_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_lag_60,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_lag_90,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_lag_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_lag_3,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_lag_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_lag_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_lag_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_lag_60,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_lag_90,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_lag_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_lag_3,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_lag_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_lag_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_lag_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_lag_60,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_lag_90,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_lag_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_lag_3,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_lag_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_lag_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_lag_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_lag_60,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_lag_90,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_lag_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_lag_3,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_lag_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_lag_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_lag_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_lag_60,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_lag_90,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_rmean_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_rstd_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_rmean_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_rstd_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_rmean_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_rstd_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_rmean_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_rstd_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_rmean_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_rstd_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_rmean_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_rstd_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_rmean_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_rstd_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_rmean_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_rstd_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_rmean_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_rstd_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_rmean_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_rstd_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_rmean_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_rstd_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_rmean_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_rstd_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_rmean_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_rstd_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_rmean_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_rstd_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_rmean_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_rstd_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_chg_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_pchg_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_chg_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_pchg_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_chg_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_pchg_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_chg_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_pchg_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_chg_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_pchg_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_chg_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_pchg_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_chg_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_pchg_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_chg_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape_pchg_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_chg_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_pchg_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_chg_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_pchg_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_chg_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_pchg_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_chg_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax_pchg_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_chg_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_pchg_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_chg_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_pchg_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_chg_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_pchg_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_chg_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax_pchg_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_chg_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_pchg_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_chg_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_pchg_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_chg_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_pchg_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_chg_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy_pchg_30,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_lag_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_lag_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_lag_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_lag_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_lag_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_lag_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_lag_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_lag_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_lag_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_lag_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_lag_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_lag_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_lag_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_lag_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_lag_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_lag_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_lag_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_lag_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_lag_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_lag_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_lag_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_lag_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_lag_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_lag_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_lag_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_lag_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_lag_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_lag_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_lag_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_lag_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_lag_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_lag_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_lag_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_lag_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_lag_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_lag_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_lag_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_lag_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_lag_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_lag_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_rmean_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_rstd_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_rmean_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_rstd_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_rmean_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_rstd_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_rmean_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_rstd_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_rmean_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_rstd_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_rmean_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_rstd_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
